scorer,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000,DLC_resnet50_bee_walkingJun4shuffle1_311000
bodyparts,left antennae,left antennae,left antennae,right antennae,right antennae,right antennae,Base of antennae,Base of antennae,Base of antennae,left wing hinge,left wing hinge,left wing hinge,right wing hinge,right wing hinge,right wing hinge,sting,sting,sting,Petiole,Petiole,Petiole
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
11,174.4730224609375,89.64140319824219,0.00926363468170166,166.11135864257812,132.4816131591797,0.9977681636810303,158.67245483398438,96.9568099975586,0.9968986511230469,126.29230499267578,70.75914001464844,0.9999305009841919,119.78959655761719,118.49993133544922,0.999936580657959,17.092439651489258,78.171142578125,0.9999985098838806,98.50003051757812,93.82162475585938,0.9999631643295288
12,1.6743195056915283,93.65467834472656,0.0012044310569763184,-0.32447052001953125,74.76561737060547,0.0008234679698944092,153.12759399414062,98.89036560058594,0.01871839165687561,123.46878051757812,75.74899291992188,0.9999672174453735,117.35709381103516,120.90830993652344,0.9999876618385315,14.373941421508789,78.21613311767578,0.9999896287918091,96.40739440917969,95.94537353515625,0.9999642372131348
13,170.82666015625,77.07946014404297,0.0035917460918426514,174.23545837402344,110.27806091308594,0.0014418959617614746,155.55528259277344,93.31961822509766,0.9499434232711792,122.93949890136719,74.21013641357422,0.9999272227287292,117.98573303222656,120.35298919677734,0.9999558925628662,13.931497573852539,80.05709838867188,0.9999980926513672,95.36724853515625,96.2737808227539,0.9999905824661255
14,169.43185424804688,87.60441589355469,0.004057586193084717,165.06735229492188,123.53347778320312,0.0015209019184112549,152.82176208496094,97.42437744140625,0.9788697957992554,125.32014465332031,73.81100463867188,0.9996093511581421,117.66374206542969,119.10836791992188,0.999826192855835,14.025623321533203,73.12715148925781,0.9998728036880493,97.408447265625,91.96488952636719,0.9992450475692749
15,179.16848754882812,100.11124420166016,0.8464270830154419,130.2070770263672,155.06863403320312,1.0,145.5502471923828,116.49597930908203,1.0,132.44212341308594,77.56645965576172,1.0,110.82689666748047,120.24030303955078,1.0,26.448244094848633,47.67911148071289,1.0,102.00321960449219,86.44883728027344,1.0
16,176.8984375,117.24995422363281,1.0,141.07760620117188,159.02627563476562,1.0,151.83392333984375,118.38224029541016,1.0,129.9375762939453,80.80989074707031,1.0,109.90729522705078,124.98627471923828,1.0,31.319835662841797,49.000797271728516,0.9999757409095764,101.49075317382812,88.18186950683594,1.0
17,186.0297088623047,101.58100891113281,1.0,147.7400360107422,151.10955810546875,1.0,150.9217529296875,109.22513580322266,1.0,130.98634338378906,75.39954376220703,1.0,113.82481384277344,118.79751586914062,1.0,25.648744583129883,53.87909698486328,1.0,101.2523193359375,86.9590835571289,1.0
18,175.85260009765625,115.19052124023438,0.9999998807907104,139.1897430419922,159.00982666015625,1.0,148.46543884277344,115.202392578125,1.0,128.62728881835938,78.27484893798828,1.0,109.78823852539062,121.11527252197266,1.0,31.501800537109375,39.667945861816406,1.0,97.96317291259766,88.71569061279297,1.0
19,187.24508666992188,117.47256469726562,1.0,140.9565887451172,157.25741577148438,1.0,149.3092498779297,116.4656982421875,1.0,130.75320434570312,81.15151977539062,1.0,111.30168151855469,120.64647674560547,1.0,30.779325485229492,45.855751037597656,1.0,101.37447357177734,88.641845703125,1.0
20,183.65744018554688,97.94145965576172,1.0,160.01100158691406,150.3626708984375,1.0,150.05584716796875,109.94441223144531,1.0,128.67388916015625,76.79104614257812,1.0,113.27323913574219,119.11311340332031,1.0,31.594554901123047,43.59977340698242,1.0,102.3979263305664,85.9267578125,1.0
21,176.5122833251953,71.98279571533203,1.0,163.68585205078125,144.49398803710938,1.0,152.18504333496094,105.33661651611328,1.0,125.8132553100586,74.75543212890625,1.0,115.84192657470703,121.96542358398438,1.0,23.694974899291992,58.06734848022461,0.9999999403953552,101.17955780029297,89.69204711914062,1.0
22,176.42642211914062,87.4537124633789,0.9987949728965759,173.25619506835938,144.27304077148438,1.0,153.64028930664062,107.69754791259766,1.0,124.82194519042969,77.05457305908203,1.0,118.74395751953125,127.46085357666016,1.0,21.079750061035156,64.84033203125,0.9999953508377075,97.8756103515625,93.16287994384766,1.0
23,176.37185668945312,106.62924194335938,1.0,158.0371856689453,149.1574249267578,1.0,149.46531677246094,110.86983489990234,1.0,125.03971099853516,76.07582092285156,1.0,115.34403228759766,125.2049789428711,1.0,25.62810707092285,56.4142951965332,0.9999998211860657,98.54440307617188,89.759765625,1.0
24,178.99986267089844,92.63565826416016,1.0,165.41517639160156,151.99423217773438,1.0,153.43841552734375,109.8386001586914,1.0,125.90753173828125,80.07198333740234,1.0,117.8167724609375,127.7391586303711,1.0,18.519519805908203,64.8964614868164,0.9999804496765137,98.4607162475586,93.88988494873047,1.0
25,180.71380615234375,108.73656463623047,1.0,160.58029174804688,150.69642639160156,1.0,152.37693786621094,108.99112701416016,1.0,126.2040786743164,76.64189147949219,1.0,114.53938293457031,123.85223388671875,1.0,25.9351863861084,59.206390380859375,0.9995827078819275,99.11666870117188,89.90694427490234,1.0
26,180.29721069335938,97.09514617919922,1.0,165.28451538085938,142.19149780273438,1.0,152.93838500976562,104.46060180664062,1.0,127.92571258544922,76.00628662109375,1.0,118.0643081665039,121.53126525878906,1.0,25.201007843017578,64.92068481445312,0.9822069406509399,98.8441390991211,91.18063354492188,1.0
27,181.2761993408203,96.16024017333984,0.9999999403953552,169.45738220214844,139.69476318359375,1.0,154.9636993408203,104.13340759277344,1.0,126.70782470703125,74.6059799194336,1.0,117.93738555908203,120.63410186767578,1.0,16.99129867553711,66.747314453125,0.9999997615814209,95.36648559570312,90.40049743652344,1.0
28,176.8286590576172,94.80016326904297,1.0,164.07550048828125,149.19107055664062,1.0,152.64404296875,107.56088256835938,1.0,122.00099182128906,76.5274658203125,1.0,118.0414047241211,124.41209411621094,1.0,17.367263793945312,74.95250701904297,0.9999982714653015,95.39231872558594,94.95660400390625,1.0
29,180.06405639648438,86.51170349121094,1.0,160.06053161621094,151.8894500732422,1.0,147.78271484375,105.70502471923828,1.0,123.23127746582031,77.79521179199219,1.0,114.30003356933594,121.34839630126953,1.0,14.329574584960938,68.59393310546875,1.0,93.72075653076172,94.57316589355469,1.0
30,188.7415008544922,101.28058624267578,1.0,163.3610382080078,150.0531768798828,1.0,151.0426025390625,109.02648162841797,1.0,123.89044952392578,79.51148223876953,1.0,115.34164428710938,124.6802749633789,1.0,17.13835906982422,70.54823303222656,1.0,97.48577880859375,94.45622253417969,0.9999977946281433
31,184.1566619873047,94.31969451904297,1.0,164.1731719970703,150.44320678710938,1.0,151.40589904785156,107.74508666992188,1.0,122.8154296875,74.31293487548828,1.0,118.53923797607422,123.49527740478516,1.0,14.48099136352539,74.76544952392578,1.0,96.67650604248047,94.61193084716797,0.9999999403953552
32,183.23951721191406,79.57048797607422,1.0,169.6070098876953,145.14437866210938,1.0,152.414794921875,104.40279388427734,1.0,124.51847076416016,77.02518463134766,0.9999940395355225,116.57474517822266,125.655517578125,0.9999991655349731,18.79596710205078,71.55241394042969,1.0,98.30180358886719,94.95162963867188,0.9999699592590332
33,189.39637756347656,93.97882080078125,1.0,170.58810424804688,147.04127502441406,1.0,156.88589477539062,108.1708984375,1.0,128.8222198486328,80.07830810546875,0.9999793767929077,120.7669677734375,125.93444061279297,1.0,15.67878532409668,77.16349029541016,0.9999997615814209,100.49944305419922,95.78297424316406,0.9999539852142334
34,190.1027069091797,92.74101257324219,1.0,168.72653198242188,148.57261657714844,1.0,155.13711547851562,106.42668151855469,1.0,128.7991180419922,79.62030029296875,1.0,119.61885070800781,126.2978515625,1.0,18.93484878540039,69.03839874267578,0.9999998807907104,97.04022979736328,94.75081634521484,1.0
35,195.38919067382812,96.34090423583984,1.0,170.93699645996094,148.4925537109375,1.0,158.04818725585938,109.451416015625,1.0,128.90513610839844,80.94265747070312,1.0,121.80449676513672,128.42820739746094,1.0,22.728281021118164,70.94174194335938,0.9999980926513672,101.25863647460938,95.79737854003906,1.0
36,188.55641174316406,94.60075378417969,1.0,169.7760009765625,144.22662353515625,1.0,155.82826232910156,106.49983215332031,1.0,127.46267700195312,76.30075073242188,1.0,123.11541748046875,123.91217041015625,1.0,17.766536712646484,74.32764434814453,1.0,94.29512023925781,95.70448303222656,1.0
37,195.163818359375,97.59625244140625,1.0,163.96778869628906,153.64794921875,1.0,156.45762634277344,111.83441925048828,1.0,125.10031127929688,77.2144775390625,1.0,118.32347106933594,128.8275146484375,1.0,18.2462215423584,73.51568603515625,1.0,96.86420440673828,97.13944244384766,1.0
38,193.6458740234375,95.63555145263672,1.0,164.0616455078125,151.81430053710938,1.0,157.0830535888672,110.41021728515625,1.0,129.953125,79.69302368164062,1.0,121.78441619873047,126.18889617919922,1.0,16.761688232421875,71.84562683105469,0.9999998807907104,98.56258392333984,95.26776885986328,1.0
